tweet_id,retweet_count,favorite_count
892420643555336193,7378,35076
892177421306343426,5497,30369
891815181378084864,3633,22830
891689557279858688,7556,38352
891327558926688256,8141,36632
891087950875897856,2728,18467
890971913173991426,1765,10730
890729181411237888,16515,59058
890609185150312448,3780,25416
890240255349198849,6401,29001
890006608113172480,6425,27987
889880896479866881,4359,25429
889665388333682689,8760,43672
889638837579907072,3913,24550
889531135344209921,1976,13837
889278841981685760,4653,22906
888917238123831296,3926,26524
888804989199671297,3710,23288
888554962724278272,3023,17954
888078434458587136,3039,19857
887705289381826560,4724,27595
887517139158093824,10299,42221
887473957103951883,15733,62477
887343217045368832,9226,30649
887101392804085760,5221,27934
886983233522544640,6679,31648
886736880519319552,2780,10884
886680336477933568,3921,20487
886366144734445568,2772,19228
886267009285017600,3,108
886258384151887873,5532,25478
886054160059072513,96,0
885984800019947520,5878,29669
885528943205470208,5589,32740
885518971528720385,3270,18651
885311592912609280,16179,0
885167619883638784,3831,19941
884925521741709313,15807,69988
884876753390489601,4897,25324
884562892145688576,4114,22137
884441805382717440,4989,24717
884247878851493888,17789,65968
884162670584377345,2621,18594
883838122936631299,2992,19906
883482846933004288,8646,41714
883360690899218434,3222,20657
883117836046086144,5804,33754
882992080364220416,3395,21758
882762694511734784,4278,25717
882627270321602560,5307,25538
882268110199369728,10140,40766
882045870035918850,4258,26693
881906580714921986,2981,22193
881666595344535552,9350,46163
881633300179243008,7,115
881536004380872706,14036,45054
881268444196462592,4657,21218
880935762899988482,2446,15585
880872448815771648,3351,19410
880465832366813184,5450,25912
880221127280381952,3637,24537
880095782870896641,3812,25171
879862464715927552,3048,20394
879674319642796034,10,289
879492040517615616,2777,21421
879415818425184262,39163,96285
879376492567855104,2745,15378
879130579576475649,5988,0
879050749262655488,4133,20565
879008229531029506,2350,17352
878776093423087618,3609,17709
878604707211726852,6204,27427
878404777348136964,1120,0
878316110768087041,5815,0
878281511006478336,1120,7041
878057613040115712,5988,38441
877736472329191424,16629,72146
877611172832227328,71,0
877556246731214848,3334,20713
877316821321428993,4580,25057
877201837425926144,4887,24739
876838120628539392,2931,18917
876537666061221889,4133,21732
876484053909872640,2086,17178
876120275196170240,4094,25601
875747767867523072,3758,22962
875144289856114688,4318,20048
875097192612077568,5360,25114
875021211251597312,4162,23364
874680097055178752,4093,25469
874434818259525634,12811,0
874296783580663808,3644,23856
874057562936811520,3515,20830
874012996292530176,9014,31276
873580283840344065,3480,22201
873337748698140672,1399,0
873213775632977920,1399,6559
872967104147763200,4780,24962
872820683541237760,3298,13534
872620804844003328,3223,19027
872486979161796608,8060,37390
872122724285648897,7184,31419
871879754684805121,9688,34409
871762521631449091,3086,18554
871515927908634625,3079,18529
871166179821445120,5086,0
871102520638267392,4901,19226
871032628920680449,3383,20912
870804317367881728,5492,30915
870726314365509632,3,112
870656317836468226,2315,11302
870374049280663552,23741,76589
870308999962521604,3693,20172
870063196459192321,7406,33603
869772420881756160,9064,39267
869702957897576449,5613,25956
869596645499047938,2774,14723
869227993411051520,3355,18813
868880397819494401,12857,60173
868639477480148993,1838,0
868622495443632128,4722,24515
868552278524837888,1838,9291
867900495410671616,3751,22363
867774946302451713,6565,31383
867421006826221569,2232,14830
867072653475098625,106,0
867051520902168576,7081,29761
866720684873056260,4313,18467
866686824827068416,3103,17800
866450705531457537,31683,112914
866334964761202691,12811,48364
866094527597207552,7529,0
865718153858494464,5067,23806
865359393868664832,4506,24493
865006731092295680,6971,25962
864873206498414592,7835,29871
864279568663928832,2711,13541
864197398364647424,7958,27752
863907417377173506,3747,19142
863553081350529029,3792,14144
863471782782697472,2183,0
863432100342583297,4745,22070
863427515083354112,85,2037
863079547188785154,1008,8162
863062471531167744,2183,7821
862831371563274240,4654,17822
862722525377298433,3221,15908
862457590147678208,4458,18967
862096992088072192,20963,68868
861383897657036800,9730,33582
861288531465048066,3758,15960
861005113778896900,3481,15561
860981674716409858,1942,0
860924035999428608,715,0
860563773140209665,1942,6977
860524505164394496,4815,22052
860276583193509888,3211,17177
860184849394610176,5348,15533
860177593139703809,28138,0
859924526012018688,3748,18311
859851578198683649,3222,14448
859607811541651456,1414,17438
859196978902773760,27541,83803
859074603037188101,12502,31590
858860390427611136,7431,0
858843525470990336,3181,14617
858471635011153920,4470,20210
858107933456039936,2651,14765
857989990357356544,2368,15065
857746408056729600,9772,32057
857393404942143489,1508,5524
857263160327368704,4159,18873
857214891891077121,16,210
857062103051644929,154,0
857029823797047296,3666,17698
856543823941562368,2664,15406
856526610513747968,1739,11195
856330835276025856,616,0
856288084350160898,15,487
856282028240666624,5815,26135
855862651834028034,22,313
855860136149123072,899,4607
855857698524602368,1949,11223
855851453814013952,16789,43329
855818117272018944,5036,25195
855459453768019968,7630,28117
855245323840757760,5518,0
855138241867124737,39,0
854732716440526848,5643,21489
854482394044301312,6337,27611
854365224396361728,4364,17881
854120357044912130,6948,30293
854010172552949760,2936,15400
853760880890318849,5376,27094
853639147608842240,9333,32840
853299958564483072,3316,14714
852936405516943360,1857,0
852912242202992640,1689,8555
852672615818899456,2021,14183
852553447878664193,3257,15473
852311364735569921,9308,31518
852226086759018497,6398,19010
852189679701164033,1488,10940
851861385021730816,19,0
851591660324737024,3263,15520
851464819735769094,6635,23136
851224888060895234,5406,19738
850753642995093505,8516,29327
850380195714523136,2442,12523
850333567704068097,308,3304
850145622816686080,3562,15601
850019790995546112,4587,19506
849776966551130114,7158,29044
849668094696017920,4674,0
849412302885593088,2966,15199
849336543269576704,1779,10930
849051919805034497,7983,40540
848690551926992896,4089,24154
848324959059550208,4370,23703
848213670039564288,676,7831
848212111729840128,2849,15644
847978865427394560,3081,0
847971574464610304,418,0
847962785489326080,4808,22571
847842811428974592,1247,5203
847617282490613760,391,6707
847606175596138505,3244,18031
847251039262605312,4101,19699
847157206088847362,5524,19057
847116187444137987,3016,20634
846874817362120707,3722,19311
846514051647705089,10932,42840
846505985330044928,2909,13587
846153765933735936,8565,30327
846139713627017216,9578,29874
846042936437604353,2710,15376
845812042753855489,8249,28129
845677943972139009,4577,24281
845397057150107648,1693,7341
845306882940190720,5101,22466
845098359547420673,7271,0
844979544864018432,2421,13149
844973813909606400,3007,14474
844580511645339650,2957,15863
844223788422217728,2075,13184
843981021012017153,2816,14658
843856843873095681,4383,20717
843604394117681152,2601,16302
843235543001513987,5705,20750
842846295480000512,3466,14784
842765311967449089,1205,6501
842535590457499648,3349,17521
842163532590374912,5518,23606
842115215311396866,2882,13521
841833993020538882,14322,0
841680585030541313,7487,24942
841439858740625411,3492,12196
841320156043304961,5271,19152
841314665196081154,4427,15306
841077006473256960,5086,22121
840761248237133825,1676,0
840728873075638272,15313,0
840698636975636481,2,172
840696689258311684,927,11895
840632337062862849,1676,8705
840370681858686976,4353,15912
840268004936019968,5479,18623
839990271299457024,2172,12992
839549326359670784,7431,26576
839290600511926273,137,0
839239871831150596,6236,26267
838952994649550848,3841,19071
838921590096166913,1956,10804
